"MÉTODO DE GUERCHET — SUPERFICIES POR SECTOR (vinculado a Fichas Tecnicas; K=0,5 coeficiente de evolución — industria alimentaria, manipulación manual)",,,,,,,,,,
,,,,,,,,,,
LÍNEA MERMELADAS — horizonte Año 10,,,,,,,,,,
Sección,N° máquinas,Ancho (m),Largo (m),Ss = Ancho×Largo (m²),N (lados de acceso),Sg = Ss×N (m²),K,Se = (Ss+Sg)×K (m²),S total / máquina (m²),S total sector (m²)
Limpieza,1,0.9,2.5,2.25,2,4.5,0.5,3.375,10.125,10.125
Pelado,2,0.6,1.8,1.08,2,2.16,0.5,1.62,4.86,9.72
Descarozado,2,0.5,1.2,0.6,2,1.2,0.5,0.9,2.7,5.4
Pulpeado,2,0.7,1.5,1.05,2,2.1,0.5,1.575,4.725,9.45
Cocción,1,0.9,1.2,1.08,2,2.16,0.5,1.62,4.86,4.86
Llenado,1,0.8,3,2.4,2,4.8,0.5,3.6,10.8,10.8
Etiquetado,2,0.5,1.8,0.9,2,1.8,0.5,1.35,4.05,8.1
Pasteurizado,2,0.8,4,3.2,1,3.2,0.5,3.2,9.6,19.2
TOTAL MERMELADAS,,,,,,,,51.72,77.655,
,,,,,,,,,,
LÍNEA SNACKS — horizonte Año 8,,,,,,,,,,
Sección,N° máquinas,Ancho (m),Largo (m),Ss = Ancho×Largo (m²),N (lados de acceso),Sg = Ss×N (m²),K,Se = (Ss+Sg)×K (m²),S total / máquina (m²),S total sector (m²)
Limpieza,2,1,3,3,2,6,0.5,4.5,13.5,27
Pelado,1,1.85,2.86,5.291,2,10.582,0.5,7.9365,23.8095,23.8095
Descarozado,3,0.5,1.2,0.6,2,1.2,0.5,0.9,2.7,8.1
Cortado,1,0.6,1.2,0.72,2,1.44,0.5,1.08,3.24,3.24
Deshidratado,1,0.85,6.8,5.78,1,5.78,0.5,5.78,17.34,17.34
Envasado,1,0.7,1.5,1.05,2,2.1,0.5,1.575,4.725,4.725
TOTAL SNACKS,,,,,,,,65.3145,84.2145,
,,,,,,,,,,
EQUIPOS AUXILIARES (con footprint propio en planta),,,,,,,,,,
Equipo,N° unidades,Ancho (m),Largo (m),Ss (m²),N (lados de acceso),Sg (m²),K,Se (m²),S total / unidad (m²),S total (m²)
Lavadora de frascos,1,0.85,4.5,3.825,1,3.825,0.5,3.825,11.475,11.475
Detector de Metales,1,0.85,1.5,1.275,2,2.55,0.5,1.9125,5.7375,5.7375
Cámara Frigorífica,1,6,6,36,1,0,0.5,0,36,36
TOTAL AUXILIARES,,,,,,,,53.2125,53.2125,
,,,,,,,,,,
RESUMEN — SUPERFICIE PRODUCTIVA NETA,,,,,"NOTA: pasillos principales, buffers, depósitos, oficinas, vestuarios y barrera sanitaria se calculan aparte en el Plan de Layout (coeficiente x2,5 ya usado en HM_EcoDulce.docx)",,,,,
Mermeladas,77.655,,,,,,,,,
Snacks,84.2145,,,,,,,,,
Auxiliares,53.2125,,,,,,,,,
TOTAL PRODUCTIVO NETO,215.082,,,,,,,,,